meeting_idx_id,meeting_date,agenda_key,agenda_no,original_agenda_no,agenda_kind,visibility,title,case_numbers,source_status,source_confidence
6759,2021-06-23,report:02:3,3,②,report,public,제55차 APPA 포럼 개최결과에 관한 건,,parsed_from_schedule,0.88
6759,2021-06-23,report:03:4,4,③,report,private,가명정보 활용 성과 및 규제혁신 보고회 개최 계획(안),,parsed_from_schedule,0.88
6755,2021-06-09,deliberation_decision:01:1,1,-,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0002 등 6건),2019조일0002,parsed_from_schedule,0.88
6755,2021-06-09,report:01:2,2,-,report,public,개인정보 침해 관련 손해배상책임 보장제도 개선안,,parsed_from_schedule,0.88
6752,2021-05-26,deliberation_decision:01:1,1,-,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조이0002 등 9건),2020조이0002,parsed_from_schedule,0.88
6752,2021-05-26,report:01:2,2,-,report,public,「AI 개인정보보호 자율점검표(개발자·운영자용)」 발간 및 후속계획에 관한 건,,parsed_from_schedule,0.88
6749,2021-05-12,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조일0001 등 8건),2020조일0001,parsed_from_schedule,0.88
6749,2021-05-12,deliberation_decision:02:2,2,②,deliberation_decision,public,「개인정보 보호법」 일부개정법률안에 관한 건,,parsed_from_schedule,0.88
6749,2021-05-12,report:01:3,3,-,report,public,「AI 서비스 개인정보보호 자율점검표(개발자·운영자용)」에 관한 건,,parsed_from_schedule,0.88
6746,2021-04-28,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0013),2021조이0013,parsed_from_schedule,0.88
6746,2021-04-28,deliberation_decision:02:2,2,②,deliberation_decision,private,「전자상거래 등에서의 소비자보호에 관한 법률 전부개정안」에 대한 개인정보 침해요인 평가 결과,,parsed_from_schedule,0.88
6746,2021-04-28,report:01:3,3,-,report,public,제55차 APPA 포럼 개최계획에 관한 건,,parsed_from_schedule,0.88
6743,2021-04-14,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0016 등 22건),2019조일0016,parsed_from_schedule,0.88
6743,2021-04-14,deliberation_decision:02:2,2,②,deliberation_decision,private,「전자상거래 등에서의 소비자보호에 관한 법률 전부개정안」에 대한 개인정보 침해요인 평가 결과,,parsed_from_schedule,0.88
6743,2021-04-14,report:01:3,3,①,report,public,공공·민간분야 영상정보처리기기 설치·운영 가이드라인 개정에 관한 건,,parsed_from_schedule,0.88
6743,2021-04-14,report:02:4,4,②,report,public,「민관이 함께하는 자율기반의 개인정보보호 실천계획」에 관한 건,,parsed_from_schedule,0.88
6741,2021-03-24,deliberation_decision:01:1,1,-,deliberation_decision,public,「주민등록번호 유출 등에 대한 과징금 부과기준」 제정에 관한 건,,parsed_from_schedule,0.88
6741,2021-03-24,report:01:2,2,-,report,private,「AI 서비스 개인정보보호 자율점검표(개발자·운영자용)」 내용 및 추진계획,,parsed_from_schedule,0.88
6738,2021-03-10,deliberation_decision:01:1,1,-,deliberation_decision,public,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2020조일0021, 0026)","2020조일0021,2020조일0026",parsed_from_schedule,0.88
6738,2021-03-10,report:01:2,2,-,report,private,개인정보 보호법 개정 추진에 관한 건,,parsed_from_schedule,0.88
6735,2021-02-24,deliberation_decision:01:1,1,-,deliberation_decision,public,"개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2019조일0014, 2020조일0004, 0010, 0014)","2019조일0014,2020조일0004,2020조일0010,2020조일0014",parsed_from_schedule,0.88
6735,2021-02-24,report:01:2,2,-,report,private,가명정보 활용 추진현황 및 계획,,parsed_from_schedule,0.88
6731,2021-01-27,deliberation_decision:01:1,1,①,deliberation_decision,public,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0005~0008),"2021조이0005,2021조이0006,2021조이0007,2021조이0008",parsed_from_schedule,0.88
