normalized_law_name,article_raw,law_name_resolution_method,normalization_status,citation_count,decision_case_count,basis_date_count,selected_date_count,raw_law_names
주류의 통신판매에 관한 명령위임 고시(국세청고시 제2023-12호),제5조제1항제6호,source_text,candidate,1,1,1,1,주류의 통신판매에 관한 명령위임 고시(국세청고시 제2023-12호)
개인정보보호 법규 위반에 대한 과징금 부과기준,제5조제2항,source_text,needs_admin_rule_pass,1,1,1,1,개인정보보호 법규 위반에 대한 과징금 부과기준
개인정보의 안전성 확보조치 기준(고시 제2021-2호),제5조제6항,source_text,candidate,1,1,1,1,개인정보의 안전성 확보조치 기준(고시 제2021-2호)
개인정보 보호법,제60조의2제2항제2호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제61조제1항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제61조제2항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
질서위반행위규제법,제63조,source_text,candidate,1,1,1,1,질서위반행위규제법
개인정보 보호법,제64조의2제1항제3호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제64조의2제1항제4호,inferred_default_pipa,candidate,1,1,1,1,
개인정보보호 법규 위반에 대한 과징금 부과기준,제64조의2제1항제9호,source_text,needs_admin_rule_pass,1,1,1,1,개인정보보호 법규 위반에 대한 과징금 부과기준
개인정보 보호 법규 위반에 대한 징계권고 기준,제64조의2제1항제9호,source_text,candidate,1,1,1,1,개인정보 보호 법규 위반에 대한 징계권고 기준
개인정보 보호법,제64조의2제5항제4호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제64조의2제6항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제65조제1항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제65조제2항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제69조,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제69조제1항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제69조제2항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법 위반에 대한 과태료 부과기준(지침),제6조,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 과태료 부과기준(지침)
개인정보보호법령 및 지침․고시 해설(이하 ‘해설서’),제6조,source_text,candidate,1,1,1,1,개인정보보호법령 및 지침․고시 해설(이하 ‘해설서’)
출입국관리법,제6조,source_text,candidate,1,1,1,1,출입국관리법
형의 실효 등에 관한 법률,제6조,source_text,candidate,1,1,1,1,형의 실효 등에 관한 법률
개인정보의 안전성 확보조치 기준(고시 제2021-2호),제6조,source_text,candidate,1,1,1,1,개인정보의 안전성 확보조치 기준(고시 제2021-2호)
개인정보 보호법 위반에 대한 공표 및 공표명령 지침(’23.10.11. 시행),제6조,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침(’23.10.11. 시행)
개인정보 보호법 위반에 대한 공표 및 공표명령 지침,제6조제1항제3호,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침
개인정보 보호법,제6조제1항제3호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제6조제1항제5호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법 위반에 대한 공표 및 공표명령 지침,제6조제1항제5호,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침
개인정보 보호법,제6조제2항제6호,inferred_default_pipa,candidate,1,1,1,1,
개인정보의 안전성 확보조치 기준(고시 제2021-2호),제6조제3항,source_text,candidate,1,1,1,1,개인정보의 안전성 확보조치 기준(고시 제2021-2호)
개인정보 보호법,제6조제3항제1호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제6조제6항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제71조제2호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제73조,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제73조제1항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제2항제12호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제2항제25호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제2항제4호,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제75조제2항제7호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제3항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제4항제6호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제75조제4항제7호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법 위반에 대한 과태료 부과기준,제76조,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 과태료 부과기준
개인정보 보호법,제7조의8,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제7조의9,inferred_default_pipa,candidate,1,1,1,1,
개인정보의 안전성 확보조치 기준(고시 제2021-2호),제7조제1항,source_text,candidate,1,1,1,1,개인정보의 안전성 확보조치 기준(고시 제2021-2호)
개인정보 보호법,제7조제3항제2호,inferred_default_pipa,candidate,1,1,1,1,
국세기본법,제81조의13,source_text,candidate,1,1,1,1,국세기본법
개인정보 보호법,제83조제4항,inferred_default_pipa,candidate,1,1,1,1,
국가공무원법,제83조제4항,source_text,candidate,1,1,1,1,국가공무원법
개인정보 보호법,제84조,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제85조의3제1항,inferred_default_pipa,candidate,1,1,1,1,
국세기본법,제85조의3제1항,source_text,candidate,1,1,1,1,국세기본법
지방세기본법,제86조,source_text,candidate,1,1,1,1,지방세기본법
장애인등에 대한 특수교육법,제8조,source_text,candidate,1,1,1,1,장애인등에 대한 특수교육법
舊 개인정보 보호법 위반에 대한 과태료 부과기준,제8조,source_text,needs_admin_rule_pass,1,1,1,1,舊 개인정보 보호법 위반에 대한 과태료 부과기준
개인정보 보호법 위반에 대한 공표 및 공표명령 지침,제8조,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침
개인정보 보호법,제8조의2,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제8조제1항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
(舊)개인정보 보호 법규 위반에 대한 과징금 부과기준,제9조,source_text,needs_admin_rule_pass,1,1,1,1,(舊)개인정보 보호 법규 위반에 대한 과징금 부과기준
개인정보 보호법,제9조제1항제2호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제9조제2항제1호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제9조제2호,inferred_default_pipa,candidate,1,1,1,1,
